Serial_Number	CASE_STATUS	EMPLOYER_NAME	SOC_NAME	JOB_TITLE	FULL_TIME_POSITION	PREVAILING_WAGE	YEAR	WORKSITE	lon	lat
3193	CERTIFIED	BEST AID COMMUNITY PHARMACY LLC	MARKETING MANAGERS	"STRATEGIC MKT. MANAGER, PHARMACEUTICAL SERVICES & PRODUCTS"	Y	108492.8	2016	"BRONX, NEW YORK"	-73.8648268	40.8447819
3194	CERTIFIED	ARTEMIS TECH LLC	MARKETING MANAGERS	ONLINE MERCHANT MARKETING MANAGER	Y	101795	2016	"UNION CITY, CALIFORNIA"	-122.0438298	37.5933918
3195	CERTIFIED	PORT OF SEATTLE	MARKETING MANAGERS	INTERNATIONAL BUSINESS PROTOCOL LIAISON	Y	141586	2016	"SEATTLE, WASHINGTON"	-122.3320708	47.6062095
3196	DENIED	AUMNI GROUP	MARKETING MANAGERS	BUSINESS DEVELOPMENT DIRECTOR	N	44325	2016	"PAWTUCKET, RHODE ISLAND"	-71.3825558	41.878711
3197	CERTIFIED	"MOVE, INC"	MARKETING MANAGERS	PRODUCT MANAGER - DIGITAL ADVERTISING	Y	123198	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
3198	CERTIFIED	BAXTER HEALTHCARE CORPORATION	MARKETING MANAGERS	"GROUP MANAGER, MARKETING"	Y	142542	2016	"DEERFIELD, ILLINOIS"	-87.8445119	42.1711365
3199	CERTIFIED	"BILLBOARDPLANET, LLC"	MARKETING MANAGERS	EXECUTIVE MARKET RESEARCH ANALYST	Y	84968	2016	"MINNEAPOLIS, MINNESOTA"	-93.2650108	44.977753
3200	CERTIFIED	"RIDECELL, INC."	MARKETING MANAGERS	DIRECTOR OF MARKETING	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3201	CERTIFIED	SURVEYMONKEY INC.	MARKETING MANAGERS	PRODUCT MARKETING MANAGER	Y	137623	2016	"PALO ALTO, CALIFORNIA"	-122.1430195	37.4418834
3202	DENIED	MATTEL SALES CORPORATION	MARKETING MANAGERS	SENIOR MARKETING MANAGER	Y	136200	2016	"EL SEGUNDO, CALIFORNIA"	-118.4164652	33.9191799
3203	DENIED	CLICKHOME INC	MARKETING MANAGERS	MARKETING MANAGER	N	53892.8	2016	"CEDAR RAPIDS, IOWA"	-91.6656232	41.9778795
3204	CERTIFIED	MASTER CHEMICAL CORPORATION	MARKETING MANAGERS	GLOBAL AEROSPACE STRATEGIC BUSINESS UNIT DIRECTOR	Y	114670	2016	"PERRYSBURG, OHIO"	-83.627157	41.556996
3205	CERTIFIED	DENTONS US LLP	MARKETING MANAGERS	GLOBAL CHIEF MARKETING & BUSINESS DEVELOPMENT OFFICER	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3206	CERTIFIED	DIRECTV LATIN AMERICA LLC	MARKETING MANAGERS	"MANAGER, AUDIENCE MANAGEMENT"	Y	104300	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3207	WITHDRAWN	"DROPTHOUGHT, INC."	MARKETING MANAGERS	CHIEF EXECUTIVE OFFICER	Y	155542	2016	"SANTA CLARA, CALIFORNIA"	-121.9552356	37.3541079
3208	CERTIFIED	"THREATMETRIX, INC."	MARKETING MANAGERS	"SENIOR DIRECTOR, DEMAND GENERATION"	Y	155542	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
3209	CERTIFIED	"DROPTHOUGHT, INC."	MARKETING MANAGERS	CHIEF EXECUTIVE OFFICER	Y	155542	2016	"SANTA CLARA, CALIFORNIA"	-121.9552356	37.3541079
3210	DENIED	AUMNI GROUP	MARKETING MANAGERS	BUSINESS DEVELOPMENT DIRECTOR	N	44325	2016	"PAWTUCKET, RHODE ISLAND"	-71.3825558	41.878711
3211	CERTIFIED	"CVS PHARMACY, INC."	MARKETING MANAGERS	DIRECTOR- FRONT STORE STRATEGY	Y	154939	2016	"WOONSOCKET, RHODE ISLAND"	-71.5147839	42.0028761
3212	CERTIFIED	"PAYCOR, INC."	MARKETING MANAGERS	PRODUCT MANAGER II	Y	100422	2016	"CINCINNATI, OHIO"	-84.5120196	39.1031182
3213	CERTIFIED	MOVADO GROUP INC.	MARKETING MANAGERS	"GLOBAL VICE PRESIDENT, MARKETING"	Y	144123	2016	"PARAMUS, NEW JERSEY"	-74.0754189	40.9445428
3214	CERTIFIED-WITHDRAWN	"MARC JACOBS INTERNATIONAL, LLC"	MARKETING MANAGERS	DIRECTOR OF STRATEGY	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3215	CERTIFIED	HAVAS MEDIA GROUP USA LLC	MARKETING MANAGERS	SUPERVISOR - MKTG ANALYTICS & DATA CONSULTING	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3216	CERTIFIED	"SYNOPSYS, INC."	MARKETING MANAGERS	TECHNICAL MARKETING MANAGER	Y	136208	2016	"MOUNTAIN VIEW, CALIFORNIA"	-122.0838511	37.3860517
3217	CERTIFIED	"ROSETTA MARKETING GROUP, LLC"	MARKETING MANAGERS	CONSULTING MANAGER	Y	83762	2016	"HAMILTON, NEW JERSEY"	-74.6796651	40.2115109
3218	CERTIFIED	"ILLUMINA, INC."	MARKETING MANAGERS	STAFF PROJECT MANAGER	Y	114629	2016	"SAN DIEGO, CALIFORNIA"	-117.1610838	32.715738
3219	CERTIFIED	"ENVESTNET ASSET MANAGEMENT, INC."	MARKETING MANAGERS	"VICE PRESIDENT, MARKETING"	Y	73700	2016	"BOSTON, MASSACHUSETTS"	-71.0588801	42.3600825
3220	CERTIFIED	"ILLUMINA, INC."	MARKETING MANAGERS	PRODUCT MANAGER	Y	83408	2016	"SAN DIEGO, CALIFORNIA"	-117.1610838	32.715738
3221	CERTIFIED	THE PUB LLC	MARKETING MANAGERS	STRATEGY LEAD (STRATEGY DIRECTOR)	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3222	CERTIFIED-WITHDRAWN	"DELL SOFTWARE, INC."	MARKETING MANAGERS	MARKETING SENIOR MANAGER	Y	143146	2016	"AUSTIN, TEXAS"	-97.7430608	30.267153
3223	CERTIFIED	EVOLUTYZ CORP	MARKETING MANAGERS	MARKETING MANAGER - I.T SERVICES	Y	94162	2016	"IRVING, TEXAS"	-96.9488945	32.8140177
3224	CERTIFIED	VERIZON CORPORATE RESOURCES GROUP LLC	MARKETING MANAGERS	SENIOR CONSULTANT-BUSINESS OPERATIONS	Y	106400	2016	"BASKING RIDGE, NEW JERSEY"	-74.5493284	40.7066174
3225	CERTIFIED	"AGILENT TECHNOLOGIES, INC."	MARKETING MANAGERS	PRODUCT MANAGER	Y	91324	2016	"SANTA CLARA, CALIFORNIA"	-121.9552356	37.3541079
3226	CERTIFIED	"VERIFONE, INC."	MARKETING MANAGERS	"DIRECTOR, BUSINESS PLANNING AND STRATEGY"	Y	155542	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
3227	CERTIFIED	AUMNI GROUP	MARKETING MANAGERS	BUSINESS DEVELOPMENT DIRECTOR	N	44325	2016	"PAWTUCKET, RHODE ISLAND"	-71.3825558	41.878711
3228	CERTIFIED	GENERAL ASSEMBLY SPACE LLC	MARKETING MANAGERS	BRAND MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3229	CERTIFIED	CUMMINS INC.	MARKETING MANAGERS	PRODUCT MANAGER	Y	83949	2016	"COLUMBUS, INDIANA"	-85.9213796	39.2014404
3230	CERTIFIED	FUXION BIOTECH USA CORP.	MARKETING MANAGERS	MANAGER OF NORTH AMERICA MARKETING	Y	118643	2016	"DALLAS, TEXAS"	-96.7969879	32.7766642
3231	CERTIFIED	PALO ALTO LIGHTING INC.	MARKETING MANAGERS	STRATEGIC ACCOUNTS MANAGER	Y	134347	2016	"HAYWARD, CALIFORNIA"	-122.0807964	37.6688205
3232	CERTIFIED	"CONCUR TECHNOLOGIES, INC."	MARKETING MANAGERS	SENIOR PRODUCT MANAGER	Y	115565	2016	"BELLEVUE, WASHINGTON"	-122.2015159	47.6101497
3233	CERTIFIED-WITHDRAWN	NOBLE AMERICAS GAS & POWER CORP.	MARKETING MANAGERS	"LEAD ANALYST, US POWER & GAS"	Y	190861	2016	"STAMFORD, CONNECTICUT"	-73.5387341	41.0534302
3234	CERTIFIED	RALPH LAUREN CORPORATION	MARKETING MANAGERS	PRODUCT MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3235	CERTIFIED	SEARS HOLDINGS MANAGEMENT CORPORATION	MARKETING MANAGERS	"DIRECTOR, PROGRAM MANAGEMENT"	Y	99972	2016	"HOFFMAN ESTATES, ILLINOIS"	-88.1227199	42.0629915
3236	DENIED	"CLIKHOME,INC."	MARKETING MANAGERS	MARKETING MANAGER	N	53892.8	2016	"CEDAR RAPIDS, IOWA"	-91.6656232	41.9778795
3237	CERTIFIED-WITHDRAWN	KETCHUM INC.	MARKETING MANAGERS	"SENIOR VICE PRESIDENT, CORPORATE PRACTICE"	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3238	CERTIFIED	VERITAS TECHNOLOGIES LLC	MARKETING MANAGERS	SR. PRODUCT MARKETING MANAGER	Y	141128	2016	"MOUNTAIN VIEW, CALIFORNIA"	-122.0838511	37.3860517
3239	CERTIFIED	"BRATTLEBORO INN, INC."	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	79747.2	2016	"BRATTLEBORO, VERMONT"	NA	NA
3240	CERTIFIED	"NATIONAL ACADEMY OF RECORDING ARTS & SCIENCES, INC."	MARKETING MANAGERS	"MANAGER, MARKETING COMMUNICATIONS"	Y	81078	2016	"SANTA MONICA, CALIFORNIA"	-118.4911912	34.0194543
3241	CERTIFIED	ICE ARIZONA HOCKEY CO LLC	MARKETING MANAGERS	"DIRECTOR, MARKETING ANALYTICS"	Y	118893	2016	"GLENDALE, ARIZONA"	-112.1859866	33.5386523
3242	CERTIFIED	PTC INC.	MARKETING MANAGERS	"STAFF MANAGER, BUSINESS DEVELOPMENT"	Y	114629	2016	"SAN DIEGO, CALIFORNIA"	-117.1610838	32.715738
3243	CERTIFIED	"HORIZON CONSULTING, INC"	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	123198	2016	"MILPITAS, CALIFORNIA"	-121.8995741	37.4323341
3244	CERTIFIED	MARLO MARKETING	MARKETING MANAGERS	VP BUSINESS DEVELOPMENT	Y	83470	2016	"BOSTON, MASSACHUSETTS"	-71.0588801	42.3600825
3245	CERTIFIED	OMADA HEALTH INC.	MARKETING MANAGERS	"SR. MANAGER, STATEGY AND BUSINESS DEVELOPMENT"	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3246	CERTIFIED	MASTERCARD INTERNATIONAL INCORPORATED	MARKETING MANAGERS	"BUSINESS LEADER, PRODUCT MANAGEMENT"	Y	135283	2016	"MIAMI, FLORIDA"	-80.1917902	25.7616798
3247	CERTIFIED	EMC CORPORATION	MARKETING MANAGERS	PRODUCT MANAGER	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3248	CERTIFIED	AT&T MOBILITY SERVICES LLC	MARKETING MANAGERS	SENIOR PRODUCT DEVELOPMENT MANAGER	Y	107500	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3249	CERTIFIED	"FAIRFIELD MANUFACTURING COMPANY, INC."	MARKETING MANAGERS	SEGMENT MANAGER - GLOBAL ENERGY PRODUCTS	Y	92040	2016	"LAFAYETTE, INDIANA"	-86.8752869	40.4167022
3250	CERTIFIED	VERITAS TECHNOLOGIES LLC	MARKETING MANAGERS	PRINCIPAL PRODUCT MANAGER	Y	157365	2016	"MOUNTAIN VIEW, CALIFORNIA"	-122.0838511	37.3860517
3251	CERTIFIED	"ZYME SOLUTIONS, INC."	MARKETING MANAGER	PRODUCT MARKETING MANAGER	Y	110074	2016	"REDWOOD SHORES, CALIFORNIA"	-122.2455364	37.5364134
3252	CERTIFIED	"SUNRUN, INC."	MARKETING MANAGERS	DIRECTOR OF PRICING	Y	160678	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3253	CERTIFIED	"MASTERMELT AMERICA, LLC"	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	N	59197	2016	"SWEETWATER, TENNESSEE"	NA	NA
3254	CERTIFIED	"BECHTEL OIL, GAS & CHEMICALS, INC."	MARKETING MANAGERS	MARKETING AND BUSINESS DEVELOPMENT MANAGER - TANK BIZ LINE	Y	183477	2016	"HOUSTON, TEXAS"	-95.3698028	29.7604267
3255	DENIED	LI QIAO HUANG	MARKETING MANAGERS	MARKETING MANAGER	Y	108160	2016	"SAN DIEGO, CALIFORNIA"	-117.1610838	32.715738
3256	CERTIFIED	"BROADRIDGE FINANCIAL SOLUTIONS, INC."	MARKETING MANAGERS	"VICE PRESIDENT, BUSINESS DEVELOPMENT"	Y	215405	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3257	CERTIFIED	EL CHAO INTERNATIONAL INC	MARKETING MANAGERS	MARKETING COORDINATOR	N	55182.4	2016	"DORAL, FLORIDA"	-80.3553302	25.8195424
3258	CERTIFIED	"BAYER HEALTHCARE PHARMACEUTICALS, INC."	MARKETING MANAGERS	"DEPUTY DIRECTOR, STRATEGY & PORTFOLIO MANAGEMENT"	Y	162198	2016	"WHIPPANY, NEW JERSEY"	-74.4022355	40.8254055
3259	CERTIFIED	POPULATION SERVICES INTERNATIONAL	MARKETING MANAGERS	DEPUTY DIRECTOR OF GLOBAL MARKETING	Y	93538	2016	"WASHINGTON, DISTRICT OF COLUMBIA"	-77.0368707	38.9071923
3260	CERTIFIED	"CLIKHOME,INC."	MARKETING MANAGERS	MARKETING MANAGER	N	53892.8	2016	"CEDAR RAPIDS, IOWA"	-91.6656232	41.9778795
3261	CERTIFIED	"INVUE SECURITY PRODUCTS, INC"	MARKETING MANAGERS	PRODUCT MANAGER	Y	80267	2016	"CHARLOTTE, NORTH CAROLINA"	-80.8431267	35.2270869
3262	CERTIFIED	"BIGCOMMERCE, INC."	MARKETING MANAGERS	MARKETING ANALYTICS MANAGER	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3263	CERTIFIED	PALO ALTO LIGHTING INC.	MARKETING MANAGERS	STRATEGIC ACCOUNTS MANAGER	Y	134347	2016	"HAYWARD, CALIFORNIA"	-122.0807964	37.6688205
3264	CERTIFIED	LIQUID AGENCY INC	MARKETING MANAGERS	PROJECT MANAGER (MARKETING)	N	35000	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3265	CERTIFIED	"SOLARFLARE COMMUNICATIONS, INC."	MARKETING MANAGERS	"TECHNICAL MARKETING DIRECTOR, FINANCIAL SERVICES"	Y	133200	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3266	CERTIFIED	"SPINEART USA, INC."	MARKETING MANAGERS	MARKETING DIRECTOR US	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3267	DENIED	GGM AUTOMOTIVE	MARKETING MANAGERS	MARKETING MANAGER	Y	143458	2016	"VAN NUYS, CALIFORNIA"	-118.451357	34.1898566
3268	CERTIFIED	GGM AUTOMOTIVE	MARKETING MANAGERS	MARKETING MANAGER	Y	112278	2016	"VAN NUYS, CALIFORNIA"	-118.451357	34.1898566
3269	CERTIFIED	PHILLIPS AUCTIONEERS LLC	MARKETING MANAGERS	"SPECIALIST, 20TH CENTURY/ CONTEMPORARY ART"	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3270	CERTIFIED	DIRECT ENERGY LP	MARKETING MANAGERS	"MANAGER, BUSINESS STRATEGY"	Y	133931	2016	"ISELIN, NEW JERSEY"	-74.3223703	40.5753817
3271	CERTIFIED	EMC CORPORATION	MARKETING MANAGERS	MARKETING MANAGER	Y	99133	2016	"MARLBOROUGH, MASSACHUSETTS"	-71.5522874	42.3459271
3272	CERTIFIED	JPMORGAN CHASE & CO.	MARKETING MANAGERS	"EXECUTIVE DIRECTOR, T&E PRODUCT MANAGEMENT AND PARTNERSHIPS"	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3273	WITHDRAWN	MERCULAND LLC	MARKETING MANAGERS	MARKETING MANAGER	Y	78000	2016	"TUKWILA, WASHINGTON"	-122.2609558	47.4739884
3274	CERTIFIED	OKLAHOMA BAPTIST UNIVERSITY	MARKETING MANAGERS	MBAC MARKETING MANAGER	N	34902	2016	"SHAWNEE, OKLAHOMA"	-96.9253004	35.3272928
3275	WITHDRAWN	EATON CORPORATION	MARKETING MANAGERS	MANAGER-VEHICLE GROUP SALES GROWTH	Y	88712	2016	"GALESBURG, MICHIGAN"	-85.418056	42.2886529
3276	CERTIFIED	MIDNITE AIR CORP.	MARKETING MANAGERS	DIRECTOR OF MARKETING	Y	106226	2016	"IRVINE, CALIFORNIA"	-117.7946942	33.6839473
3277	CERTIFIED	"SAMSUNG ELECTRONICS AMERICA, INC."	MARKETING MANAGERS	MARKETING STRATEGY & OPERATIONS MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3278	CERTIFIED	GILBARCO INC.	MARKETING MANAGERS	"DIRECTOR OF MARKETING, NA - RETAIL DISPENSERS & AMO"	Y	129854	2016	"GREENSBORO, NORTH CAROLINA"	-79.7919754	36.0726354
3279	CERTIFIED	WIKOT CORPORATION	MARKETING MANAGERS	BUSINESS DEVELOPMENT ANALYST	N	55182.4	2016	"MIAMI, FLORIDA"	-80.1917902	25.7616798
3280	CERTIFIED	"SIGHTEN, INC."	MARKETING MANAGERS	"DIRECTOR, BUSINESS DEVELOPMENT"	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3281	CERTIFIED	"PARKVIEW HEALTH SYSTEM, INC."	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	80870	2016	"FORT WAYNE, INDIANA"	-85.1393513	41.079273
3282	CERTIFIED	SYNTEL INC	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	70366	2016	"SAINT JOSEPH, MICHIGAN"	-86.4895463	42.0938577
3283	CERTIFIED	ESSENCE DIGITAL INC.	MARKETING MANAGERS	PROGRAMMATIC DIRECTOR	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3284	CERTIFIED	"SANDOZ, INC."	MARKETING MANAGERS	"ASSOCIATE DIRECTOR, BD&L"	Y	142646	2016	"PRINCETON, NEW JERSEY"	-74.6672226	40.3572976
3285	CERTIFIED	HEATCRAFT REFRIGERATION PRODUCTS	MARKETING MANAGERS	"PRODUCT MANAGER, LEAD - CONTROLS"	Y	96100	2016	"STONE MOUNTAIN, GEORGIA"	-84.170196	33.8081608
3286	CERTIFIED	"CITICORP CREDIT SERVICES, INC."	MARKETING MANAGERS	PROGRAM GROUP MANAGER	Y	108000	2016	"LONG ISLAND CITY, NEW YORK"	-73.9485424	40.744679
3287	CERTIFIED	OMNOVA SOLUTIONS INC.	MARKETING MANAGERS	OIL AND GAS ACCOUNT MANAGER	Y	89336	2016	"HOUSTON, TEXAS"	-95.3698028	29.7604267
3288	CERTIFIED	"HEXAWARE TECHNOLOGIES, INC."	MARKETING MANAGERS	DIRECTOR - PRESALES	Y	118643	2016	"PLANO, TEXAS"	-96.6988856	33.0198431
3289	CERTIFIED	OATEY COMPANY	MARKETING MANAGERS	CORPORATE MANAGER - STEWARDSHIP	N	69867	2016	"CLEVELAND, OHIO"	-81.6943605	41.49932
3290	CERTIFIED	AMAZON CORPORATE LLC	MARKETING MANAGERS	SENIOR PRODUCT MANAGER	Y	115565	2016	"SEATTLE, WASHINGTON"	-122.3320708	47.6062095
3291	CERTIFIED	"MULESOFT, INC."	MARKETING MANAGERS	SENIOR PRODUCT MANAGER	Y	144893	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3292	CERTIFIED	"ARM, INC."	MARKETING MANAGERS	PRODUCT MARKETING MANAGER	Y	123198	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
3293	CERTIFIED	"INDEGENE, INC."	MARKETING MANAGERS	VICE PRESIDENT-BUSINESS DEVELOPMENT	Y	102100	2016	"ISELIN, NEW JERSEY"	-74.3223703	40.5753817
3294	CERTIFIED	"CLEAR LIGHT, INC."	MARKETING MANAGERS	MARKETING MANAGER	Y	108493	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3295	CERTIFIED	"TECH MAHINDRA (AMERICAS), INC."	MARKETING MANAGERS	ACCOUNT MANAGER	Y	133931	2016	"SOUTH PLAINFIELD, NEW JERSEY"	-74.4115401	40.5792701
3296	CERTIFIED	"R.L. ALBERT & SON, INC."	MARKETING MANAGERS	GLOBAL MARKETING MANAGER	Y	158454	2016	"STAMFORD, CONNECTICUT"	-73.5387341	41.0534302
3297	CERTIFIED	"SAMSUNG ELECTRONICS AMERICA, INC."	MARKETING MANAGERS	PRODUCT PLANNING MANAGER II	Y	118643	2016	"RICHARDSON, TEXAS"	-96.7298519	32.9483335
3298	CERTIFIED	RICOH INNOVATIONS CORPORATION	MARKETING MANAGERS	SENIOR BUSINESS DEVELOPMENT MANAGER	Y	155542	2016	"CUPERTINO, CALIFORNIA"	-122.0321823	37.3229978
3299	CERTIFIED	EMC CORPORATION	MARKETING MANAGERS	CONSULTANT PRICING MANAGER	Y	128794	2016	"HOPKINTON, MASSACHUSETTS"	-71.5225646	42.2286954
3300	WITHDRAWN	"TECH MAHINDRA (AMERICAS), INC."	MARKETING MANAGERS	BUSINESS DEVELOPMENT MANAGER	Y	133931	2016	"SOUTH PLAINFIELD, NEW JERSEY"	-74.4115401	40.5792701
3301	CERTIFIED	DISNEY ONLINE	MARKETING MANAGERS	USER ACQUISITION DIRECTOR	Y	155542	2016	"PALO ALTO, CALIFORNIA"	-122.1430195	37.4418834
3302	DENIED	"THE OGILVY GROUP, LLC - OGILVY & MATHER"	MARKETING MANAGERS	SENIOR CONSULTANT MARKETING ANALYTICS	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3303	CERTIFIED	"CARE.COM, INC."	MARKETING MANAGERS	DIRECTOR OF PRODUCT MANAGEMENT	Y	179733	2016	"REDWOOD CITY, CALIFORNIA"	-122.2363548	37.4852152
3304	CERTIFIED	"INFORMATION RESOURCES, INC."	MARKETING MANAGERS	ANALYTICS PRINCIPAL PRODUCT MANAGER	Y	123386	2016	"CHICAGO, ILLINOIS"	-87.6297982	41.8781136
3305	CERTIFIED	"BIOSENSE WEBSTER, INC."	MARKETING MANAGERS	ASSOCIATE PRODUCT DIRECTOR OF EP MEDICAL DEVICE SYSTEMS	Y	81078	2016	"DIAMOND BAR, CALIFORNIA"	-117.8103367	34.0286226
3306	WITHDRAWN	"TRIZETTO CORPORATION, A COGNIZANT COMPANY"	MARKETING MANAGERS	ANALYTICS PRINCIPAL PRODUCT MANAGER	Y	123386	2016	"CHICAGO, ILLINOIS"	-87.6297982	41.8781136
3307	CERTIFIED	"BECTON, DICKINSON AND COMPANY"	MARKETING MANAGERS	SENIOR PROGRAM MANAGER	Y	155542	2016	"SAN JOSE, CALIFORNIA"	-121.8863286	37.3382082
3308	CERTIFIED	TOYS FOR BOYS MIAMI LLC	MARKETING MANAGERS	VP OF COMMUNICATIONS	Y	81890	2016	"MIAMI, FLORIDA"	-80.1917902	25.7616798
3309	CERTIFIED	CALAMP CORP.	MARKETING MANAGERS	DIRECTOR OF MARKETING & SALES	Y	141586	2016	"RENTON, WASHINGTON"	-122.2170661	47.4828776
3310	CERTIFIED	"UNI-REY SERVICES, LLC"	MARKETING MANAGERS	SR. DIRECTOR DIGITAL & SOCIAL MEDIA	Y	144123	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3311	CERTIFIED	MATTEL SALES CORPORATION	MARKETING MANAGERS	SENIOR MARKETING MANAGER	Y	136200	2016	"EL SEGUNDO, CALIFORNIA"	-118.4164652	33.9191799
3312	CERTIFIED	EATON CORPORATION	MARKETING MANAGERS	MANAGER-VEHICLE GROUP SALES GROWTH	Y	135034	2016	"GALESBURG, MICHIGAN"	-85.418056	42.2886529
3313	CERTIFIED	NATIONAL FINANCIAL LLC	MARKETING MANAGERS	"ASSOCIATE, PRODUCT DEVELOPMENT"	Y	83470	2016	"BOSTON, MASSACHUSETTS"	-71.0588801	42.3600825
3314	CERTIFIED	ABBVIE INC	MARKETING MANAGERS	COMMERCIAL AND PRODUCT MANAGER	Y	113963	2016	"NORTH CHICAGO, ILLINOIS"	-87.8411818	42.325578
3315	CERTIFIED	PANASONIC AVIONICS CORPORATION	MARKETING MANAGERS	PRODUCT LINE MANAGER II	Y	106226	2016	"LAKE FOREST, CALIFORNIA"	-117.689218	33.6469661
3316	CERTIFIED	"R.L ALBERT & SON, INC."	MARKETING MANAGERS	GLOBAL MARKETING MANAGER	Y	158454	2016	"STAMFORD, CONNECTICUT"	-73.5387341	41.0534302
3317	CERTIFIED	MONIGLE ASSOCIATES INC.	MARKETING MANAGERS	CHIEF MARKETING OFFICER	Y	141232	2016	"DENVER, COLORADO"	-104.990251	39.7392358
3318	CERTIFIED	INTUIT INC.	MARKETING MANAGERS	ASSOCIATE MARKETING MANAGER	Y	72357	2016	"MOUNTAIN VIEW, CALIFORNIA"	-122.0838511	37.3860517
3319	WITHDRAWN	"GENENTECH USA, INC."	MARKETING MANAGERS	MARKETING MANAGER (PRODUCT MANAGER)	Y	112833	2016	"SOUTH SAN FRANCISCO, CALIFORNIA"	-122.4077498	37.654656
3320	CERTIFIED	"SAINT-GOBAIN CERAMICS & PLASTICS, INC."	MARKETING MANAGERS	"PRODUCT & TECHNICAL MANAGER, ORGANICS/GAS TUBES"	Y	96013	2016	"HIRAM, OHIO"	NA	NA
3321	CERTIFIED	"ELECTRONIC ARTS, INC."	MARKETING MANAGERS	"SENIOR MOBILE MARKETING MANAGER, POPCAP"	Y	115565	2016	"SEATTLE, WASHINGTON"	-122.3320708	47.6062095
3322	CERTIFIED	"IPC SYSTEMS, INC."	MARKETING MANAGERS	"VP, GLOBAL GSOC"	Y	179774	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3323	CERTIFIED	"UDEMY, INC."	MARKETING MANAGERS	"SENIOR MARKETING MANAGER, MERCHANDISING"	Y	110074	2016	"SAN FRANCISCO, CALIFORNIA"	-122.4194155	37.7749295
3324	CERTIFIED	"WEATHERFORD INTERNATIONAL, LLC"	MARKETING MANAGERS	GLOBAL BUSINESS UNIT MANAGER	Y	183477	2016	"HOUSTON, TEXAS"	-95.3698028	29.7604267
3325	CERTIFIED	"GENENTECH USA, INC."	MARKETING MANAGERS	MARKETING MANAGER (PRODUCT MANAGER)	Y	112833	2016	"SOUTH SAN FRANCISCO, CALIFORNIA"	-122.4077498	37.654656
3326	CERTIFIED	"ESSILOR OF AMERICA, INC."	MARKETING MANAGERS	MARKETING MANAGER - RETAIL KEY ACCOUNTS	Y	77300	2016	"DALLAS, TEXAS"	-96.7969879	32.7766642
3327	CERTIFIED	AMERICAN MUSEUM OF NATURAL HISTORY	MARKETING MANAGERS	"DIRECTOR, TRAVELING PROGRAMS SALES"	Y	95368	2016	"NEW YORK, NEW YORK"	-74.0059413	40.7127837
3328	CERTIFIED	MICROSTRATEGY INC.	MARKETING MANAGERS	"PRODUCT MARKETING MANAGER, MOBILE"	Y	92955	2016	"TYSONS CORNER, VIRGINIA"	-77.2310925	38.9187222
